pregunta,opcion_A,opcion_B,opcion_C,opcion_D,opcion_correcta
¿Cuánto es 9 + 6?,14,15,16,17,15
¿Cuánto es 10 - 7?,1,2,3,4,3
¿Cuánto es 8 x 2?,14,15,16,17,16
¿Cuánto es 20 ÷ 5?,2,3,4,5,4
¿Cuál es la capital de Bután?,Thimphu,Paro,Punakha,Bumthang,Thimphu
¿Quién fue el primer ser humano en viajar al espacio?,Yuri Gagarin,Neil Armstrong,John Glenn,Valentina Tereshkova,Yuri Gagarin
¿Cuál es el elemento químico con el símbolo 'W'?,Wolframio,Plomo,Hierro,Carbono,Wolframio
¿En qué año se hundió el Titanic?,1910,1912,1914,1916,1912
¿Quién pintó "El jardín de las delicias"?,Hieronymus Bosch,Pablo Picasso,Salvador Dalí,Claude Monet,Hieronymus Bosch
¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Yangtze,Misisipi,Amazonas
¿Quién escribió "El origen de las especies"?,Charles Darwin,Isaac Newton,Gregor Mendel,Albert Einstein,Charles Darwin
¿Cuál es la lengua más hablada en el mundo?,Chino mandarín,Inglés,Español,Hindi,Chino mandarín
¿En qué año se cayó el Muro de Berlín?,1987,1989,1991,1993,1989
¿Cuál es el país con más islas en el mundo?,Suecia,Canadá,Indonesia,Noruega,Suecia
¿Quién fue el primer emperador de China?,Qin Shi Huang,Han Wudi,Kublai Khan,Sun Yat-sen,Qin Shi Huang
